name,grocery_type,substitute_key
soy sauce,asian,
extra virgin olive oil,baking and spices,oils
coconut oil,baking and spices,oils
sea salt,baking and spices,salt
iodized salt,baking and spices,salt
garlic powder,baking and spices,
nutritional yeast,baking and spices,
ground cinnamon,baking and spices,
vanilla extract,baking and spices,
tomato paste,canned goods,
minced garlic,canned goods,garlic
unsweetened almond milk,dairy,milk
unsweetened oat milk,dairy,milk
quinoa,dry goods,
steel-cut oats,dry goods,oats
rolled oats,dry goods,oats
maple syrup,dry goods,
vegetable broth,dry goods,
chopped spinach (frozen),frozen,greens
corn tortillas,hispanic,tortillas
flour tortillas,hispanic,tortillas
extra firm tofu,produce,tofu
silken tofu,produce,tofu
firm tofu,produce,tofu
yellow onion,produce,onion
white onion,produce,onion
spinach,produce,greens
garlic cloves,produce,garlic
liquid smoke,baking and spices,
kale,produce,greens
carrot,produce,
ground cumin,baking and spices,
chili powder,baking and spices,
dried oregano,baking and spices,
rice vinegar,asian,
toasted sesame oil,asian,
all purpose flour,baking and spices,flour
whole wheat flour,baking and spices,flour
brown sugar,baking and spices,sugar
white sugar,baking and spices,sugar
powdered sugar,baking and spices,
banana,produce,
strawberries,produce,
orange juice,dairy,
apple cider vinegar,baking and spices,
baking powder,baking and spices,
baking soda,baking and spices,
cornmeal,baking and spices,
peanut butter,dry goods,nut butters
almond butter,dry goods,nut butters
black pepper,baking and spices,
paprika,baking and spices,
red wine vinegar,baking and spices,
sherry,baking and spices,
chia seeds,dry goods,
flaxseeds,dry goods,
sourdough bread,bakery,bread
russet potato,produce,potato
golden potato,produce,potato
red potato,produce,potato
sweet potato,produce,
cayenne pepper,baking and spices,
